,,CT Name,CT Code,Population 1996 (100% data),25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,Total number of occupied private dwellings by structural type of dwelling (20% sample data),With secondary school graduation certificate,Without certificate or diploma,With bachelor's degree or higher,Total by mobility status 1 year ago (20% sample data),Movers,Migrants,Internal migrants,Intraprovincial migrants,Interprovincial migrants,External migrants,Total by mobility status 5 years ago (20% sample data),Movers,Migrants,Internal migrants,Intraprovincial migrants,Interprovincial migrants,External migrants,All persons with employment income by work activity (20% sample data),Under $10000,$  10000 - $19999,$  20000 - $29999,$  30000 - $39999,$  40000 - $49999,$  50000 - $59999,$  60000 - $69999,$  70000 - $79999,$  80000 - $89999,$  90000 - $99999,$100000 and over,Median household income $,Average value of dwelling $,Owned,Rented,Band housing,Period of construction before 1946,Period of construction 1946-1960,Average gross rent $
CMA/CA,CTUID,V1,V2,V9,V24,V25,V26,V27,V28,V29,V30,V31,V48,V49,V50,V51,V52,V53,V54,V55,V114,V1352,V1355,V1361,V1386,V1388,V1390,V1391,V1392,V1393,V1394,V1395,V1397,V1399,V1400,V1401,V1402,V1403,V1404,V1616,V1617,V1618,V1619,V1620,V1621,V1622,V1623,V1624,V1625,V1626,V1628,V1682,V1683,V1684,V1685,V1689,V1690,V1702
933,9330000,0,0,1831665,75725,83265,81650,75345,70875,51920,40415,35435,76465,83610,83855,78400,71725,51005,40615,35500,692960,188725,110570,257760,1791515,354450,161090,117725,86890,30830,43365,1701900,958015,525670,344570,231055,113515,181100,1003260,55915,96210,81780,81355,73435,65730,55325,45055,34795,25575,77785,43964,318127,411400,281315,245,76080,95800,754
933,9330003,3,2230,7570,340,390,315,235,220,145,170,145,340,355,285,235,220,175,180,150,2020,750,395,590,7315,1255,395,150,85,65,245,6780,3800,1750,590,340,250,1160,3720,205,285,245,265,290,195,170,70,125,40,130,40896,335564,1120,895,0,200,615,693
933,9330004,4,2231,8774,410,415,350,290,280,210,195,180,385,355,355,290,275,245,215,180,2630,920,680,1115,8450,1455,585,275,190,85,305,7960,4185,2160,695,365,330,1465,4315,245,345,385,305,280,280,195,135,155,85,215,40421,368285,1570,1065,0,315,885,740
933,9330005,5,2232,6553,530,545,395,295,200,135,115,75,565,505,395,285,245,145,115,75,4015,700,400,1390,6510,2410,1120,680,425,255,445,6300,4880,2900,1730,905,825,1170,4655,500,775,715,835,455,320,155,120,25,40,60,30162,175509,265,3755,0,160,855,635
933,9330006,6,2233,9328,345,320,325,375,430,280,185,165,345,315,395,485,425,260,205,155,3075,770,530,1695,8885,1865,845,285,180,110,560,8625,5105,3265,830,435,395,2430,4200,355,465,440,400,300,265,200,130,120,75,320,36616,537315,1725,1345,0,405,810,870
933,9330007,7,2234,8559,205,175,215,330,435,295,225,180,230,240,335,420,510,320,220,165,2845,785,365,2305,8450,1165,485,190,85,110,290,8165,3690,1980,580,320,260,1400,4375,185,325,220,275,195,225,165,175,110,105,855,59408,758160,2005,840,0,935,520,1002
933,9330008,8,2235,5454,160,100,160,180,240,230,160,140,125,140,170,250,300,215,150,125,1750,420,155,1815,5435,905,330,190,105,85,140,5215,2125,930,480,285,200,445,2815,75,90,70,140,180,80,75,110,85,70,765,83745,778600,1390,295,65,550,260,1200
933,9330009,9,2236,6463,255,210,175,235,270,200,145,115,275,215,260,290,310,225,160,155,2955,520,310,2010,6420,1425,555,285,190,90,275,6315,3490,1895,900,455,440,990,3525,195,435,340,320,300,225,225,165,150,70,535,45947,643574,1360,1590,0,830,710,945
933,9330011,11,2238,5737,225,260,220,210,185,120,110,135,210,220,260,205,180,130,140,150,1820,630,450,640,5665,895,380,230,140,85,150,5345,2550,1465,495,295,200,975,2785,135,375,235,205,130,170,155,115,75,65,155,37553,368104,1110,710,0,250,470,679
933,9330012,12,2239,7061,315,310,280,255,265,165,155,160,290,310,285,315,280,185,170,170,2360,635,335,1145,7000,1365,635,270,165,105,365,6680,3245,1580,470,260,210,1115,3535,230,455,260,235,260,220,155,175,120,55,195,40233,437886,1430,930,0,555,775,780
933,9330014,14,2241,7387,295,260,270,245,250,180,160,185,305,305,315,300,300,170,215,165,2290,650,490,555,7320,1105,405,185,105,85,215,6980,3190,1620,515,190,325,1105,3295,240,520,260,285,245,160,155,170,70,65,115,34034,374985,1390,900,0,320,490,672
933,9330019,19,2246,5175,180,185,190,195,185,135,105,110,190,220,240,215,225,155,135,120,1905,500,320,960,5035,890,270,145,40,105,125,4820,2340,1060,375,85,290,680,2375,145,380,205,230,180,185,125,120,85,65,170,39730,363515,1060,845,0,420,640,686
933,9330020,20,2247,2544,70,50,55,65,100,60,45,70,70,50,65,85,105,70,55,80,770,235,135,600,2235,335,170,70,50,15,105,2135,885,540,85,65,20,455,1055,40,45,95,70,45,85,60,40,35,15,245,60842,671366,640,130,0,115,235,1161
933,9330021,21,2248,4222,110,70,85,165,195,175,115,95,125,105,120,220,235,150,115,100,1240,230,155,1505,4180,690,255,160,115,45,95,4015,1855,840,225,105,120,615,2150,60,80,75,90,25,70,45,60,50,70,610,94434,1088754,1010,235,0,935,105,1006
933,9330022,22,2249,2694,100,100,75,55,95,50,40,50,120,115,95,95,115,70,60,75,1610,305,120,865,2665,495,210,155,40,115,50,2610,1610,780,405,225,180,375,1250,75,265,290,255,200,180,60,65,35,65,115,36337,461284,495,1115,0,165,340,917
933,9330023,23,2250,4435,120,90,115,175,240,150,90,75,135,100,155,240,245,160,85,80,1300,355,150,1415,4195,580,245,100,55,45,150,4065,1635,810,285,125,165,530,2350,35,70,115,100,100,80,95,115,65,75,445,77021,673904,1005,290,0,795,155,1405
933,9330024,24,2251,6051,185,140,160,280,295,230,155,110,165,165,225,335,335,210,145,110,1895,370,170,2055,5990,850,465,210,70,145,250,5755,2350,1205,490,210,285,715,3150,95,90,130,165,145,125,145,130,100,95,675,72617,627945,1500,400,0,1060,305,1306
933,9330025,25,2252,7219,305,240,240,275,345,225,180,140,250,250,300,330,370,215,165,135,2520,440,265,2300,7060,1320,630,385,210,175,250,6770,3170,1710,840,450,390,875,4050,110,240,195,220,210,205,145,190,220,135,640,64514,548298,1855,660,0,1350,315,1165
933,9330026,26,2253,4843,175,135,130,215,215,155,105,90,150,140,195,255,205,150,115,75,1690,480,225,1420,4830,790,345,165,70,95,180,4660,2165,1275,385,90,290,895,2545,65,255,175,170,105,125,105,105,150,60,375,55584,665440,1200,485,0,595,410,1051
933,9330027,27,2254,6841,195,150,135,220,315,205,155,140,185,180,200,305,325,195,145,160,2400,600,275,1835,6545,1240,540,220,130,90,315,6375,3460,2045,565,245,315,1480,2935,145,195,200,285,205,120,245,165,125,95,605,60875,669756,1670,725,0,455,555,1210
933,9330028,28,2255,3224,125,120,90,105,130,115,80,80,150,140,120,135,175,115,80,60,1105,220,90,1065,3130,455,195,95,45,45,95,3055,1420,795,320,125,200,470,1750,65,70,90,115,115,115,45,85,60,20,325,56991,934486,685,410,0,530,235,876
933,9330029,29,2256,5691,340,280,235,220,190,125,90,70,390,315,265,240,225,130,105,90,2170,380,280,1645,5350,1285,545,245,95,150,300,5120,2915,1655,840,295,540,815,3360,165,275,270,245,205,195,170,140,105,70,325,45328,454488,1050,1120,0,835,445,888
933,9330030,30,2257,6606,295,320,330,245,255,140,120,155,310,355,300,305,245,155,140,135,2195,650,435,1025,6515,1005,440,270,135,135,170,6135,3050,1365,600,300,300,765,3625,240,290,180,285,195,190,170,185,105,105,250,44717,413971,1375,815,0,760,455,751
933,9330032,32,2259,6987,365,390,355,265,230,140,125,165,320,370,350,285,220,160,150,150,2300,715,435,755,6900,1255,475,230,130,105,240,6515,3320,1650,725,385,340,920,3840,245,320,325,330,245,225,130,135,105,80,155,38153,313267,1210,1090,0,1025,395,713
